Device number: 2016951;;
Name;left table;right table
Measuring mode;Irradiance;Irradiance
Correction;UV;UV
Date;24-4-2025;24-4-2025
Time;09:03:43;09:04:17
Sync. frequency [Hz];0;0
T_int [ms];42,07;50
Averages;1;1
;;
Ev [lx] (CIE1931 2°);1,40E+04;1,37E+04
Ee [W/sqm] (230-1000nm);4,62E+01;4,49E+01
CCT [K];3990;4015
;;
Chrom. Coord. (CIE1931 2°);;
x;0,3777;0,3769
y;0,3653;0,3658
;;
PAR;;
Begin [nm];400;400
End [nm];700;700
Ephot (Begin..End) [umol/s sqm];2,13E+02;2,07E+02
;;
;;
Wavelength [nm];Ee [W/(sqm*nm)];Ee [W/(sqm*nm)]
200;;
201;;
202;;
203;;
204;;
205;;
206;;
207;;
208;;
209;;
210;;
211;;
212;;
213;;
214;;
215;;
216;;
217;;
218;;
219;;
220;;
221;;
222;;
223;;
224;;
225;;
226;;
227;;
228;;
229;;
230;0,00E+00;0,00E+00
231;0,00E+00;2,01E-03
232;1,96E-03;8,61E-03
233;1,18E-03;2,97E-03
234;0,00E+00;1,74E-03
235;2,72E-03;7,63E-04
236;0,00E+00;0,00E+00
237;4,21E-03;1,10E-02
238;1,71E-03;4,97E-03
239;0,00E+00;1,12E-02
240;0,00E+00;0,00E+00
241;0,00E+00;0,00E+00
242;0,00E+00;5,78E-04
243;0,00E+00;2,33E-03
244;1,03E-02;3,62E-03
245;1,90E-03;1,53E-03
246;4,10E-03;1,94E-04
247;1,31E-04;4,71E-03
248;0,00E+00;7,72E-04
249;0,00E+00;1,67E-04
250;7,11E-04;2,61E-03
251;1,06E-03;3,41E-03
252;6,52E-04;6,12E-04
253;2,47E-03;0,00E+00
254;4,70E-03;0,00E+00
255;1,33E-03;2,38E-04
256;2,69E-03;1,46E-03
257;9,66E-04;4,28E-04
258;2,02E-03;0,00E+00
259;5,31E-03;3,33E-03
260;1,89E-03;3,01E-03
261;1,65E-03;1,72E-03
262;4,80E-04;2,69E-03
263;1,07E-03;1,66E-04
264;0,00E+00;2,72E-03
265;1,06E-03;0,00E+00
266;1,19E-03;0,00E+00
267;7,85E-05;0,00E+00
268;4,46E-04;6,25E-04
269;4,77E-04;0,00E+00
270;7,61E-04;0,00E+00
271;2,07E-03;0,00E+00
272;6,18E-04;0,00E+00
273;9,73E-05;1,99E-03
274;6,06E-04;0,00E+00
275;1,85E-04;6,37E-05
276;0,00E+00;2,70E-05
277;0,00E+00;0,00E+00
278;2,23E-05;4,38E-04
279;7,66E-05;9,02E-04
280;1,15E-03;0,00E+00
281;3,81E-04;0,00E+00
282;0,00E+00;0,00E+00
283;4,24E-04;0,00E+00
284;1,26E-03;0,00E+00
285;7,72E-04;0,00E+00
286;1,70E-04;6,45E-04
287;3,56E-04;5,64E-04
288;1,56E-03;2,23E-04
289;7,64E-04;4,82E-04
290;6,33E-05;0,00E+00
291;0,00E+00;0,00E+00
292;1,22E-03;0,00E+00
293;1,20E-04;4,03E-05
294;7,03E-04;7,26E-05
295;3,04E-04;0,00E+00
296;3,61E-04;6,07E-05
297;5,62E-05;0,00E+00
298;3,76E-04;0,00E+00
299;1,02E-03;0,00E+00
300;1,09E-03;4,52E-05
301;8,04E-04;4,62E-04
302;0,00E+00;0,00E+00
303;2,36E-04;0,00E+00
304;7,73E-04;0,00E+00
305;2,13E-04;3,01E-04
306;1,42E-03;2,11E-05
307;1,24E-04;1,91E-04
308;3,71E-04;0,00E+00
309;4,02E-04;3,39E-04
310;0,00E+00;3,48E-04
311;0,00E+00;4,26E-04
312;3,65E-04;1,13E-03
313;0,00E+00;9,87E-05
314;1,08E-04;0,00E+00
315;1,11E-03;0,00E+00
316;1,62E-05;0,00E+00
317;0,00E+00;1,95E-05
318;2,13E-04;6,10E-05
319;2,15E-04;4,18E-04
320;0,00E+00;1,38E-04
321;1,17E-04;0,00E+00
322;1,20E-05;3,03E-05
323;3,38E-05;2,44E-04
324;4,19E-04;1,48E-04
325;4,95E-04;0,00E+00
326;7,16E-04;1,88E-04
327;0,00E+00;2,85E-04
328;9,34E-05;4,54E-04
329;8,20E-05;3,18E-04
330;0,00E+00;8,64E-05
331;4,33E-04;3,13E-04
332;5,02E-04;1,37E-04
333;3,27E-04;2,12E-04
334;9,98E-05;1,76E-04
335;1,56E-04;0,00E+00
336;2,47E-05;6,92E-06
337;4,40E-04;2,22E-04
338;4,29E-05;2,26E-04
339;9,85E-05;2,14E-04
340;1,53E-05;5,15E-05
341;1,45E-05;2,41E-04
342;3,51E-04;1,26E-04
343;2,72E-04;2,75E-04
344;0,00E+00;1,87E-04
345;0,00E+00;7,68E-04
346;2,06E-05;4,19E-04
347;3,56E-04;5,10E-05
348;6,32E-04;1,09E-04
349;6,35E-04;5,21E-05
350;2,22E-04;6,89E-04
351;5,41E-04;4,79E-04
352;9,87E-04;0,00E+00
353;5,39E-04;3,71E-04
354;3,11E-05;2,75E-04
355;9,02E-04;7,59E-04
356;1,09E-05;5,03E-05
357;1,47E-04;7,93E-04
358;2,44E-05;3,49E-04
359;2,98E-04;0,00E+00
360;6,30E-05;0,00E+00
361;9,91E-04;1,58E-05
362;3,00E-04;1,94E-04
363;3,68E-04;3,77E-04
364;2,53E-04;2,79E-04
365;1,86E-05;0,00E+00
366;9,36E-04;2,13E-04
367;6,32E-04;5,44E-04
368;7,96E-04;2,57E-04
369;7,90E-04;1,08E-03
370;1,14E-04;6,80E-04
371;6,97E-04;7,18E-04
372;5,54E-04;5,43E-04
373;3,03E-04;2,43E-04
374;7,48E-04;4,74E-04
375;5,96E-04;3,48E-04
376;1,91E-04;1,61E-05
377;1,68E-04;3,30E-04
378;2,32E-04;4,71E-04
379;7,14E-04;6,74E-04
380;1,03E-03;3,90E-04
381;2,37E-04;8,07E-05
382;0,00E+00;5,31E-04
383;7,50E-05;3,29E-04
384;5,54E-04;2,55E-04
385;2,33E-04;1,51E-04
386;2,90E-04;8,47E-04
387;2,37E-04;5,56E-04
388;2,68E-04;1,72E-04
389;3,80E-04;4,92E-04
390;4,43E-04;3,26E-04
391;3,27E-04;5,88E-04
392;3,36E-04;1,36E-04
393;6,39E-04;5,20E-04
394;6,19E-04;3,80E-04
395;6,72E-04;2,13E-04
396;5,01E-04;2,21E-04
397;4,37E-04;6,44E-04
398;6,49E-04;4,65E-04
399;8,95E-04;7,07E-04
400;9,32E-04;7,79E-04
401;5,35E-04;7,85E-04
402;8,41E-04;8,87E-04
403;6,29E-04;3,48E-04
404;1,12E-03;8,66E-04
405;6,35E-04;1,26E-03
406;9,40E-04;1,22E-03
407;1,09E-03;1,22E-03
408;1,69E-03;1,42E-03
409;1,23E-03;1,67E-03
410;1,72E-03;1,75E-03
411;2,34E-03;1,87E-03
412;2,45E-03;2,37E-03
413;2,90E-03;2,55E-03
414;3,06E-03;3,02E-03
415;3,87E-03;3,83E-03
416;4,13E-03;4,35E-03
417;4,67E-03;4,99E-03
418;5,88E-03;6,39E-03
419;7,04E-03;7,09E-03
420;7,98E-03;8,11E-03
421;9,70E-03;9,62E-03
422;1,11E-02;1,08E-02
423;1,28E-02;1,26E-02
424;1,49E-02;1,49E-02
425;1,73E-02;1,67E-02
426;2,00E-02;2,01E-02
427;2,34E-02;2,30E-02
428;2,74E-02;2,67E-02
429;3,17E-02;3,06E-02
430;3,64E-02;3,51E-02
431;4,20E-02;4,10E-02
432;4,91E-02;4,64E-02
433;5,54E-02;5,36E-02
434;6,18E-02;6,01E-02
435;7,04E-02;6,71E-02
436;7,76E-02;7,54E-02
437;8,82E-02;8,56E-02
438;9,84E-02;9,52E-02
439;1,12E-01;1,07E-01
440;1,25E-01;1,21E-01
441;1,40E-01;1,36E-01
442;1,59E-01;1,52E-01
443;1,76E-01;1,71E-01
444;2,00E-01;1,91E-01
445;2,26E-01;2,14E-01
446;2,48E-01;2,36E-01
447;2,69E-01;2,57E-01
448;2,89E-01;2,74E-01
449;3,07E-01;2,89E-01
450;3,17E-01;3,00E-01
451;3,18E-01;3,04E-01
452;3,17E-01;3,02E-01
453;3,05E-01;2,94E-01
454;2,89E-01;2,78E-01
455;2,67E-01;2,61E-01
456;2,45E-01;2,42E-01
457;2,28E-01;2,25E-01
458;2,08E-01;2,08E-01
459;1,92E-01;1,92E-01
460;1,76E-01;1,78E-01
461;1,66E-01;1,67E-01
462;1,56E-01;1,56E-01
463;1,49E-01;1,50E-01
464;1,42E-01;1,43E-01
465;1,35E-01;1,36E-01
466;1,29E-01;1,29E-01
467;1,24E-01;1,22E-01
468;1,16E-01;1,16E-01
469;1,08E-01;1,09E-01
470;1,01E-01;1,03E-01
471;9,59E-02;9,76E-02
472;8,94E-02;9,21E-02
473;8,48E-02;8,64E-02
474;8,06E-02;8,21E-02
475;7,74E-02;7,87E-02
476;7,49E-02;7,54E-02
477;7,27E-02;7,36E-02
478;7,33E-02;7,33E-02
479;7,23E-02;7,25E-02
480;7,16E-02;7,25E-02
481;7,32E-02;7,39E-02
482;7,45E-02;7,52E-02
483;7,59E-02;7,62E-02
484;7,79E-02;7,73E-02
485;7,92E-02;7,86E-02
486;8,08E-02;8,16E-02
487;8,27E-02;8,25E-02
488;8,60E-02;8,41E-02
489;8,82E-02;8,70E-02
490;9,08E-02;9,01E-02
491;9,37E-02;9,29E-02
492;9,59E-02;9,48E-02
493;1,01E-01;9,84E-02
494;1,04E-01;1,02E-01
495;1,07E-01;1,06E-01
496;1,10E-01;1,08E-01
497;1,13E-01;1,11E-01
498;1,17E-01;1,15E-01
499;1,20E-01;1,19E-01
500;1,23E-01;1,21E-01
501;1,27E-01;1,24E-01
502;1,30E-01;1,28E-01
503;1,32E-01;1,30E-01
504;1,37E-01;1,33E-01
505;1,39E-01;1,36E-01
506;1,40E-01;1,38E-01
507;1,42E-01;1,40E-01
508;1,45E-01;1,42E-01
509;1,46E-01;1,44E-01
510;1,49E-01;1,45E-01
511;1,50E-01;1,47E-01
512;1,52E-01;1,50E-01
513;1,57E-01;1,51E-01
514;1,55E-01;1,52E-01
515;1,57E-01;1,54E-01
516;1,58E-01;1,55E-01
517;1,58E-01;1,55E-01
518;1,60E-01;1,58E-01
519;1,62E-01;1,58E-01
520;1,63E-01;1,59E-01
521;1,65E-01;1,62E-01
522;1,66E-01;1,62E-01
523;1,68E-01;1,64E-01
524;1,66E-01;1,63E-01
525;1,67E-01;1,63E-01
526;1,69E-01;1,65E-01
527;1,70E-01;1,64E-01
528;1,71E-01;1,67E-01
529;1,70E-01;1,68E-01
530;1,71E-01;1,68E-01
531;1,71E-01;1,69E-01
532;1,73E-01;1,69E-01
533;1,74E-01;1,71E-01
534;1,74E-01;1,71E-01
535;1,76E-01;1,71E-01
536;1,76E-01;1,72E-01
537;1,78E-01;1,72E-01
538;1,77E-01;1,73E-01
539;1,77E-01;1,74E-01
540;1,79E-01;1,76E-01
541;1,80E-01;1,77E-01
542;1,82E-01;1,77E-01
543;1,82E-01;1,78E-01
544;1,84E-01;1,79E-01
545;1,85E-01;1,80E-01
546;1,86E-01;1,82E-01
547;1,87E-01;1,83E-01
548;1,88E-01;1,84E-01
549;1,90E-01;1,84E-01
550;1,91E-01;1,86E-01
551;1,92E-01;1,88E-01
552;1,93E-01;1,88E-01
553;1,94E-01;1,90E-01
554;1,94E-01;1,91E-01
555;1,97E-01;1,91E-01
556;1,98E-01;1,94E-01
557;1,99E-01;1,95E-01
558;2,01E-01;1,95E-01
559;2,02E-01;1,98E-01
560;2,04E-01;1,99E-01
561;2,06E-01;2,00E-01
562;2,06E-01;2,02E-01
563;2,06E-01;2,03E-01
564;2,09E-01;2,04E-01
565;2,11E-01;2,05E-01
566;2,12E-01;2,07E-01
567;2,12E-01;2,08E-01
568;2,14E-01;2,08E-01
569;2,16E-01;2,11E-01
570;2,17E-01;2,12E-01
571;2,20E-01;2,12E-01
572;2,19E-01;2,14E-01
573;2,21E-01;2,15E-01
574;2,23E-01;2,15E-01
575;2,24E-01;2,17E-01
576;2,23E-01;2,19E-01
577;2,26E-01;2,20E-01
578;2,27E-01;2,21E-01
579;2,27E-01;2,23E-01
580;2,28E-01;2,23E-01
581;2,29E-01;2,23E-01
582;2,29E-01;2,24E-01
583;2,31E-01;2,26E-01
584;2,33E-01;2,28E-01
585;2,33E-01;2,29E-01
586;2,34E-01;2,29E-01
587;2,35E-01;2,29E-01
588;2,35E-01;2,29E-01
589;2,34E-01;2,29E-01
590;2,35E-01;2,30E-01
591;2,35E-01;2,30E-01
592;2,35E-01;2,31E-01
593;2,37E-01;2,30E-01
594;2,37E-01;2,29E-01
595;2,36E-01;2,30E-01
596;2,37E-01;2,30E-01
597;2,35E-01;2,30E-01
598;2,36E-01;2,29E-01
599;2,35E-01;2,30E-01
600;2,35E-01;2,28E-01
601;2,33E-01;2,28E-01
602;2,33E-01;2,27E-01
603;2,30E-01;2,25E-01
604;2,29E-01;2,24E-01
605;2,29E-01;2,23E-01
606;2,28E-01;2,22E-01
607;2,28E-01;2,20E-01
608;2,24E-01;2,18E-01
609;2,24E-01;2,19E-01
610;2,23E-01;2,17E-01
611;2,22E-01;2,14E-01
612;2,20E-01;2,14E-01
613;2,16E-01;2,13E-01
614;2,16E-01;2,11E-01
615;2,14E-01;2,09E-01
616;2,12E-01;2,06E-01
617;2,09E-01;2,06E-01
618;2,08E-01;2,03E-01
619;2,06E-01;2,02E-01
620;2,04E-01;2,00E-01
621;2,03E-01;1,98E-01
622;2,01E-01;1,96E-01
623;1,98E-01;1,93E-01
624;1,97E-01;1,91E-01
625;1,94E-01;1,89E-01
626;1,92E-01;1,88E-01
627;1,91E-01;1,88E-01
628;1,91E-01;1,85E-01
629;1,89E-01;1,83E-01
630;1,87E-01;1,83E-01
631;1,86E-01;1,81E-01
632;1,85E-01;1,78E-01
633;1,85E-01;1,77E-01
634;1,83E-01;1,77E-01
635;1,82E-01;1,76E-01
636;1,82E-01;1,73E-01
637;1,80E-01;1,74E-01
638;1,82E-01;1,74E-01
639;1,82E-01;1,73E-01
640;1,83E-01;1,75E-01
641;1,84E-01;1,77E-01
642;1,85E-01;1,78E-01
643;1,88E-01;1,79E-01
644;1,89E-01;1,81E-01
645;1,94E-01;1,85E-01
646;1,97E-01;1,88E-01
647;2,04E-01;1,91E-01
648;2,08E-01;1,95E-01
649;2,14E-01;2,00E-01
650;2,19E-01;2,07E-01
651;2,29E-01;2,11E-01
652;2,34E-01;2,17E-01
653;2,40E-01;2,25E-01
654;2,49E-01;2,30E-01
655;2,55E-01;2,37E-01
656;2,64E-01;2,46E-01
657;2,72E-01;2,52E-01
658;2,77E-01;2,57E-01
659;2,79E-01;2,58E-01
660;2,75E-01;2,57E-01
661;2,64E-01;2,49E-01
662;2,47E-01;2,37E-01
663;2,30E-01;2,20E-01
664;2,08E-01;2,01E-01
665;1,86E-01;1,80E-01
666;1,65E-01;1,63E-01
667;1,48E-01;1,46E-01
668;1,33E-01;1,30E-01
669;1,19E-01;1,17E-01
670;1,08E-01;1,06E-01
671;9,93E-02;9,79E-02
672;9,22E-02;8,92E-02
673;8,42E-02;8,27E-02
674;7,71E-02;7,73E-02
675;7,23E-02;7,21E-02
676;6,89E-02;6,80E-02
677;6,51E-02;6,38E-02
678;6,12E-02;6,01E-02
679;5,79E-02;5,72E-02
680;5,50E-02;5,46E-02
681;5,21E-02;5,19E-02
682;5,07E-02;4,96E-02
683;4,88E-02;4,70E-02
684;4,67E-02;4,57E-02
685;4,47E-02;4,39E-02
686;4,30E-02;4,21E-02
687;4,09E-02;4,08E-02
688;4,04E-02;3,96E-02
689;3,90E-02;3,81E-02
690;3,73E-02;3,63E-02
691;3,61E-02;3,51E-02
692;3,47E-02;3,41E-02
693;3,34E-02;3,23E-02
694;3,23E-02;3,16E-02
695;3,10E-02;3,08E-02
696;3,03E-02;2,99E-02
697;2,98E-02;2,83E-02
698;2,83E-02;2,76E-02
699;2,71E-02;2,67E-02
700;2,63E-02;2,62E-02
701;2,56E-02;2,52E-02
702;2,52E-02;2,44E-02
703;2,41E-02;2,36E-02
704;2,33E-02;2,26E-02
705;2,24E-02;2,18E-02
706;2,22E-02;2,14E-02
707;2,13E-02;2,09E-02
708;2,02E-02;1,99E-02
709;2,01E-02;1,95E-02
710;1,91E-02;1,84E-02
711;1,90E-02;1,82E-02
712;1,82E-02;1,74E-02
713;1,77E-02;1,68E-02
714;1,73E-02;1,65E-02
715;1,61E-02;1,57E-02
716;1,61E-02;1,57E-02
717;1,55E-02;1,46E-02
718;1,49E-02;1,40E-02
719;1,45E-02;1,39E-02
720;1,39E-02;1,38E-02
721;1,34E-02;1,33E-02
722;1,32E-02;1,30E-02
723;1,30E-02;1,26E-02
724;1,24E-02;1,24E-02
725;1,24E-02;1,18E-02
726;1,16E-02;1,12E-02
727;1,11E-02;1,05E-02
728;1,09E-02;1,02E-02
729;1,04E-02;1,02E-02
730;1,06E-02;9,84E-03
731;1,00E-02;9,48E-03
732;9,68E-03;9,60E-03
733;9,22E-03;8,98E-03
734;9,08E-03;8,65E-03
735;8,79E-03;8,14E-03
736;8,73E-03;8,09E-03
737;8,27E-03;7,57E-03
738;7,92E-03;7,53E-03
739;7,95E-03;7,51E-03
740;7,96E-03;7,50E-03
741;7,44E-03;7,21E-03
742;6,98E-03;7,10E-03
743;6,78E-03;6,91E-03
744;6,59E-03;6,24E-03
745;6,41E-03;6,02E-03
746;6,19E-03;5,90E-03
747;5,91E-03;5,83E-03
748;5,71E-03;5,63E-03
749;5,30E-03;5,35E-03
750;5,62E-03;4,96E-03
751;5,18E-03;5,04E-03
752;5,00E-03;4,91E-03
753;5,05E-03;4,67E-03
754;5,01E-03;4,66E-03
755;4,62E-03;4,43E-03
756;4,42E-03;4,23E-03
757;4,58E-03;4,31E-03
758;4,10E-03;4,11E-03
759;4,02E-03;3,83E-03
760;4,22E-03;3,70E-03
761;3,82E-03;3,91E-03
762;3,78E-03;3,69E-03
763;3,52E-03;3,70E-03
764;3,40E-03;3,42E-03
765;3,40E-03;3,00E-03
766;3,34E-03;3,15E-03
767;2,82E-03;3,12E-03
768;3,24E-03;2,99E-03
769;3,15E-03;2,66E-03
770;2,66E-03;2,88E-03
771;2,57E-03;2,55E-03
772;3,02E-03;2,63E-03
773;2,61E-03;2,39E-03
774;2,70E-03;2,49E-03
775;2,40E-03;2,06E-03
776;2,51E-03;1,88E-03
777;2,34E-03;2,06E-03
778;1,83E-03;1,94E-03
779;2,37E-03;1,76E-03
780;2,41E-03;2,68E-03
781;1,90E-03;2,09E-03
782;2,00E-03;1,89E-03
783;1,61E-03;1,93E-03
784;1,74E-03;1,90E-03
785;1,55E-03;1,87E-03
786;1,63E-03;1,66E-03
787;1,46E-03;1,72E-03
788;1,75E-03;1,71E-03
789;1,56E-03;1,67E-03
790;1,65E-03;1,52E-03
791;1,49E-03;1,75E-03
792;1,34E-03;1,03E-03
793;1,34E-03;1,31E-03
794;1,35E-03;1,55E-03
795;1,79E-03;1,32E-03
796;1,42E-03;1,64E-03
797;1,27E-03;1,25E-03
798;1,54E-03;1,23E-03
799;1,22E-03;1,38E-03
800;6,24E-04;1,17E-03
801;1,24E-03;1,14E-03
802;1,15E-03;9,93E-04
803;1,07E-03;1,19E-03
804;1,05E-03;1,00E-03
805;1,11E-03;1,03E-03
806;1,16E-03;9,40E-04
807;5,65E-04;8,38E-04
808;5,06E-04;1,10E-03
809;8,96E-04;8,02E-04
810;7,16E-04;7,62E-04
811;8,12E-04;7,70E-04
812;7,50E-04;7,90E-04
813;6,58E-04;6,03E-04
814;7,09E-04;1,01E-03
815;1,06E-03;9,66E-04
816;8,10E-04;8,41E-04
817;7,30E-04;6,23E-04
818;7,57E-04;7,30E-04
819;7,98E-04;8,23E-04
820;6,92E-04;7,02E-04
821;7,31E-04;4,18E-04
822;7,89E-04;3,89E-04
823;7,47E-04;5,37E-04
824;8,84E-04;7,34E-04
825;4,91E-04;5,39E-04
826;7,71E-04;8,35E-04
827;8,03E-04;5,20E-04
828;7,92E-04;5,51E-04
829;4,34E-04;5,99E-04
830;4,78E-04;4,59E-04
831;6,47E-04;3,41E-04
832;3,72E-04;4,06E-04
833;6,57E-04;4,61E-04
834;6,13E-04;4,51E-04
835;7,39E-04;3,09E-04
836;5,69E-04;3,61E-04
837;3,75E-04;4,82E-04
838;7,16E-04;5,32E-04
839;6,59E-04;5,04E-04
840;2,68E-04;5,77E-04
841;4,43E-04;4,44E-04
842;6,10E-04;5,12E-04
843;4,02E-04;3,63E-04
844;5,93E-04;4,55E-04
845;6,44E-04;7,33E-04
846;1,51E-04;4,74E-04
847;7,81E-04;2,90E-04
848;4,69E-04;4,50E-04
849;4,59E-04;3,31E-04
850;2,70E-04;2,73E-04
851;3,13E-04;2,78E-04
852;2,24E-04;1,39E-04
853;3,90E-04;4,41E-04
854;3,61E-04;5,50E-04
855;2,12E-04;1,68E-04
856;1,48E-04;4,56E-04
857;2,57E-04;1,66E-04
858;4,65E-04;3,80E-04
859;4,59E-04;2,73E-04
860;8,08E-05;3,31E-04
861;3,96E-04;2,97E-04
862;4,34E-04;3,84E-04
863;4,46E-04;5,76E-04
864;4,21E-04;3,22E-04
865;4,48E-05;1,41E-05
866;3,35E-04;2,91E-04
867;2,47E-04;5,24E-04
868;2,81E-04;1,79E-04
869;3,55E-04;3,20E-04
870;2,70E-04;2,80E-04
871;3,97E-04;5,67E-04
872;4,77E-05;7,16E-04
873;2,62E-04;3,44E-04
874;4,43E-04;2,53E-04
875;2,85E-04;2,94E-04
876;4,72E-04;9,72E-05
877;6,29E-04;5,11E-04
878;3,14E-04;2,84E-04
879;4,85E-04;3,20E-04
880;2,64E-05;1,79E-04
881;2,85E-04;0,00E+00
882;1,42E-04;1,60E-04
883;3,22E-04;2,39E-04
884;2,93E-04;4,07E-04
885;4,43E-04;9,89E-05
886;1,90E-05;1,68E-04
887;3,77E-04;2,16E-04
888;3,13E-05;1,69E-04
889;3,32E-04;1,60E-04
890;4,74E-04;4,85E-04
891;4,39E-04;2,81E-04
892;3,58E-04;7,71E-05
893;2,39E-04;1,62E-04
894;1,61E-06;4,21E-04
895;3,71E-04;0,00E+00
896;1,18E-04;2,97E-04
897;3,75E-06;3,45E-04
898;2,23E-04;3,04E-04
899;5,25E-04;3,82E-04
900;4,26E-04;1,70E-04
901;2,17E-04;2,11E-04
902;0,00E+00;5,57E-04
903;0,00E+00;2,31E-04
904;1,47E-04;4,12E-05
905;0,00E+00;7,21E-04
906;6,45E-05;3,75E-04
907;3,59E-05;2,05E-04
908;1,32E-04;2,09E-04
909;4,13E-04;5,61E-05
910;1,44E-04;2,90E-04
