;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Device number: 2016951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;#9;#10;#11;#12;#13;#14;#15;#16;#17;#18;#19;#20;#21;#22;#23;#24;#25;#26;#27;#28;#29;#30;#31;#32;#33;#34;#35;#36;#37;#38;#39;#40;#41;#42;#43;#44;#45;#46;#47;#48;#49;#50;#51;#52;#53;#54;#55;#56;#57;#58;#59;#60;#61;#62;#63;#64;#65;#66;#67;#68
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026;20-02-2026
Time;11:29:20;11:29:32;11:29:44;11:30:26;11:30:39;11:30:54;11:31:10;11:31:48;11:32:04;11:32:39;11:33:26;11:33:38;11:33:48;11:33:58;11:34:07;11:34:17;11:34:26;11:34:36;11:34:45;11:34:57;11:37:13;11:37:52;11:38:19;11:38:35;11:38:52;11:39:02;11:40:01;11:40:14;11:40:26;11:40:39;11:40:50;11:41:02;11:41:14;11:41:26;11:41:36;11:41:47;11:41:55;11:42:04;11:42:13;11:42:23;11:43:03;11:43:45;11:44:04;11:44:15;11:44:25;11:44:44;11:44:56;11:45:12;11:46:11;11:46:25;11:46:41;11:46:52;11:47:07;11:47:21;11:47:35;11:47:46;11:47:58;11:48:11;11:48:22;11:48:35
Sync. frequency [Hz];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
T_int [ms];149,84;64,08;41,10;30,14;25,00;20,36;17,53;15,31;12,50;12,50;12,50;10,64;9,95;9,18;8,81;4,52;4,52;4,52;4,52;4,52;268,69;117,87;76,13;56,93;50,00;37,85;32,40;28,72;25,00;25,00;21,40;19,80;18,28;16,98;16,07;15,13;14,27;12,50;12,50;12,50;1064,49;312,55;181,06;128,55;100,00;86,18;73,55;65,29;59,14;50,00;50,00;50,00;43,29;40,88;38,43;36,30;34,81;33,30;32,02;30,78
Averages;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ev [lx] (CIE1931 2°);3,478E+03;8,411E+03;1,331E+04;1,822E+04;2,301E+04;2,774E+04;3,241E+04;3,702E+04;4,163E+04;4,611E+04;5,052E+04;5,500E+04;5,936E+04;6,372E+04;6,804E+04;7,284E+04;7,709E+04;8,125E+04;8,539E+04;8,940E+04;4,625E+01;1,078E+02;1,708E+02;2,344E+02;2,944E+02;3,577E+02;4,168E+02;4,787E+02;5,400E+02;5,983E+02;6,584E+02;7,195E+02;7,801E+02;8,342E+02;8,933E+02;9,490E+02;1,008E+03;1,064E+03;1,121E+03;1,167E+03;6,665E-01;2,636E+00;4,152E+00;6,587E+00;7,602E+00;1,004E+01;1,218E+01;1,343E+01;1,540E+01;1,674E+01;1,797E+01;2,056E+01;2,342E+01;2,542E+01;2,701E+01;2,846E+01;3,062E+01;3,203E+01;3,568E+01;3,766E+01
Ee [W/sqm] (230-1000nm);1,118E+01;2,690E+01;4,259E+01;5,811E+01;7,324E+01;8,831E+01;1,030E+02;1,176E+02;1,322E+02;1,464E+02;1,602E+02;1,746E+02;1,885E+02;2,021E+02;2,158E+02;2,313E+02;2,448E+02;2,578E+02;2,709E+02;2,832E+02;8,550E-01;2,020E+00;3,218E+00;4,470E+00;5,572E+00;6,898E+00;7,970E+00;9,172E+00;1,034E+01;1,161E+01;1,274E+01;1,399E+01;1,515E+01;1,634E+01;1,751E+01;1,865E+01;1,993E+01;2,117E+01;2,218E+01;2,341E+01;3,824E-01;1,435E+00;2,591E+00;3,799E+00;4,940E+00;6,054E+00;7,163E+00;8,251E+00;9,326E+00;1,041E+01;1,146E+01;1,251E+01;1,359E+01;1,459E+01;1,565E+01;1,666E+01;1,763E+01;1,855E+01;1,955E+01;2,057E+01
