Series;PAR range [nm];Total PAR [umol/(s*sqm)]
Cool White 5%;400-700;49.769857
Cool White 10%;400-700;120.083901
Cool White 15%;400-700;189.717869
Cool White 20%;400-700;259.384231
Cool White 25%;400-700;327.184969
Cool White 30%;400-700;394.041350
Cool White 35%;400-700;460.008014
Cool White 40%;400-700;525.116446
Cool White 45%;400-700;590.093806
Cool White 50%;400-700;653.541795
Cool White 55%;400-700;715.521246
Cool White 60%;400-700;778.742465
Cool White 65%;400-700;840.056071
Cool White 70%;400-700;901.478064
Cool White 75%;400-700;962.306415
Cool White 80%;400-700;1029.089716
Cool White 85%;400-700;1089.024207
Cool White 90%;400-700;1147.491739
Cool White 95%;400-700;1205.989107
Cool White 100%;400-700;1262.236846
Deep Red 5%;400-700;4.654172
Deep Red 10%;400-700;11.021871
Deep Red 15%;400-700;17.441828
Deep Red 20%;400-700;24.029504
Deep Red 25%;400-700;30.337249
Deep Red 30%;400-700;36.830256
Deep Red 35%;400-700;43.252789
Deep Red 40%;400-700;49.742667
Deep Red 45%;400-700;56.147487
Deep Red 50%;400-700;62.570373
Deep Red 55%;400-700;68.981057
Deep Red 60%;400-700;75.683941
Deep Red 65%;400-700;82.015290
Deep Red 70%;400-700;88.407202
Deep Red 75%;400-700;94.655720
Deep Red 80%;400-700;100.968368
Deep Red 85%;400-700;107.536639
Deep Red 90%;400-700;113.843946
Deep Red 95%;400-700;119.977733
Deep Red 100%;400-700;125.974323
Far Red 5%;400-700;0.150143
Far Red 10%;400-700;0.577629
Far Red 15%;400-700;1.075574
Far Red 20%;400-700;1.636832
Far Red 25%;400-700;2.168338
Far Red 30%;400-700;2.751981
Far Red 35%;400-700;3.326028
Far Red 40%;400-700;3.915210
Far Red 45%;400-700;4.507709
Far Red 50%;400-700;5.131896
Far Red 55%;400-700;5.767790
Far Red 60%;400-700;6.413279
Far Red 65%;400-700;7.092459
Far Red 70%;400-700;7.737072
Far Red 75%;400-700;8.372443
Far Red 80%;400-700;9.053742
Far Red 85%;400-700;9.762052
Far Red 90%;400-700;10.438106
Far Red 95%;400-700;11.130420
Far Red 100%;400-700;11.803627
