;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Device number: 2016951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;#2;#3;#4;#5;#6;#7;#8;#9;#10;#11;#12;#13;#14;#15;#16;#17;#18;#19;#20;#21;#24;#25;#26;#27;#28;#29;#30;#31;#32;#33;#34;#35;#36;#37;#38;#39;#40;#41;#42;#43;#44;#47;#48;#49;#50;#51;#52;#53;#54;#55;#57;#58;#60;#61;#62;#63;#64;#65;#66;#67
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026
Time;09:51:46;09:51:57;09:52:25;09:52:37;09:52:50;09:53:05;09:53:15;09:53:24;09:53:35;09:53:44;09:53:54;09:54:04;09:54:12;09:54:23;09:54:31;09:54:40;09:54:51;09:55:00;09:55:20;09:55:34;10:00:40;10:00:55;10:01:03;10:01:13;10:01:22;10:01:34;10:01:44;10:01:56;10:02:06;10:02:14;10:02:22;10:02:31;10:02:40;10:02:51;10:03:00;10:03:08;10:03:41;10:03:51;10:04:02;10:04:14;10:05:02;10:08:47;10:09:05;10:09:16;10:09:35;10:09:53;10:10:05;10:10:18;10:10:38;10:11:26;10:12:07;10:12:18;10:13:05;10:13:19;10:13:29;10:13:40;10:13:58;10:14:12;10:14:21;10:14:59
Sync. frequency [Hz];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
T_int [ms];231,23;100,00;62,23;50,00;36,86;31,04;25,00;25,00;21,50;19,59;17,87;16,54;15,43;14,52;12,50;12,50;12,50;12,50;12,50;10,91;493,03;211,05;135,20;100,00;81,26;66,74;57,70;50,00;50,00;41,21;37,55;34,75;32,38;30,15;28,43;25,00;25,00;25,00;25,00;22,26;900,03;419,21;279,14;213,30;175,03;149,30;130,80;116,76;100,00;100,00;100,00;84,72;80,13;75,02;71,38;67,46;65,00;62,09;59,56;57,93
Averages;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ev [lx] (CIE1931 2°);2,338E+03;5,756E+03;9,131E+03;1,252E+04;1,579E+04;1,903E+04;2,221E+04;2,532E+04;2,844E+04;3,154E+04;3,455E+04;3,752E+04;4,042E+04;4,331E+04;4,624E+04;4,904E+04;5,185E+04;5,452E+04;5,714E+04;5,985E+04;2,538E+01;6,009E+01;9,576E+01;1,334E+02;1,693E+02;2,033E+02;2,388E+02;2,734E+02;3,064E+02;3,423E+02;3,772E+02;4,086E+02;4,416E+02;4,754E+02;5,058E+02;5,369E+02;5,689E+02;6,024E+02;6,310E+02;6,590E+02;6,587E-01;1,659E+00;2,355E+00;3,392E+00;4,552E+00;5,430E+00;5,883E+00;7,164E+00;8,237E+00;8,605E+00;1,134E+01;1,117E+01;1,196E+01;1,277E+01;1,454E+01;1,494E+01;1,599E+01;1,703E+01;1,846E+01;2,098E+01
Ee [W/sqm] (230-1000nm);7,409E+00;1,822E+01;2,878E+01;3,947E+01;4,969E+01;5,986E+01;6,980E+01;7,960E+01;8,926E+01;9,886E+01;1,083E+02;1,176E+02;1,267E+02;1,357E+02;1,448E+02;1,534E+02;1,623E+02;1,707E+02;1,787E+02;1,873E+02;4,601E-01;1,107E+00;1,770E+00;2,457E+00;3,145E+00;3,816E+00;4,478E+00;5,146E+00;5,782E+00;6,531E+00;7,114E+00;7,768E+00;8,456E+00;9,099E+00;9,732E+00;1,037E+01;1,102E+01;1,168E+01;1,230E+01;1,294E+01;4,632E-01;1,074E+00;1,673E+00;2,286E+00;2,877E+00;3,460E+00;4,059E+00;4,608E+00;5,194E+00;5,704E+00;6,288E+00;6,800E+00;7,348E+00;7,861E+00;8,379E+00;8,914E+00;9,460E+00;9,960E+00;1,043E+01;1,103E+01
