;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Device number: 2016951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;#68;#69;#70;#71;#72;#73;#74;#75;#76;#77;#78;#79;#80;#81;#82;#83;#84;#85;#86;#87;#88;#89;#90;#91;#92;#93;#94;#95;#96;#97;#98;#99;#100;#101;#102;#103;#104;#105;#106;#107;#108;#109;#110;#111;#112;#113;#114;#115;#116;#117;#118;#119;#120;#121;#122;#123;#124;#125;#126;#127;#128;#129;#130;#131;#132;#133;#134;#135;#136;#137;#138;#139;#140;#141;#142;#143;#144;#145;#146;#147;#148;#149;#150;#151;#152;#153;#154;#155;#156;#157;#158;#159;#160;#161;#162;#163;#164;#165;#166;#167;#168;#169;#170;#171;#172;#173;#174;#175;#176;#177;#178;#179;#180;#181;#182;#183;#184;#185;#186;#187;#188;#189;#190;#191;#192;#193;#194;#195;#196;#197;#198;#199;#200;#201;#202;#203;#204;#205;#206;#207;#208;#209;#210;#211;#212;#213;#214;#215;#216;#217;#218;#219;#220;#221;#222;#223;#224;#225;#226;#227
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026
Time;10:50:38;10:50:48;10:50:55;10:51:02;10:51:08;10:51:15;10:51:23;10:51:32;10:52:59;10:53:08;10:53:17;10:53:29;10:53:43;10:54:07;10:54:15;10:54:24;10:54:32;10:54:39;10:54:45;10:54:55;10:55:41;10:56:09;10:56:57;10:57:08;10:57:15;10:57:30;10:57:36;10:57:43;10:57:50;10:57:58;10:58:05;10:58:13;10:58:20;10:58:29;10:58:37;10:58:45;10:58:53;10:59:00;10:59:08;10:59:15;10:59:31;10:59:39;10:59:58;11:00:07;11:00:14;11:00:22;11:00:30;11:00:37;11:00:44;11:00:51;11:01:00;11:01:37;11:01:57;11:02:04;11:02:12;11:02:19;11:02:27;11:02:34;11:02:42;11:02:50;11:03:12;11:03:40;11:03:48;11:03:57;11:04:04;11:04:10;11:04:18;11:04:26;11:04:33;11:04:40;11:04:48;11:04:56;11:05:03;11:05:11;11:05:18;11:05:25;11:05:37;11:05:44;11:05:51;11:05:59;11:06:23;11:06:32;11:06:39;11:06:46;11:06:53;11:07:00;11:07:08;11:07:16;11:07:23;11:07:32;11:07:39;11:07:46;11:07:53;11:08:01;11:08:08;11:08:15;11:08:22;11:08:31;11:08:38;11:08:45;11:09:40;11:10:40;11:10:52;11:11:03;11:11:10;11:11:17;11:11:26;11:11:33;11:11:41;11:11:48;11:11:55;11:12:03;11:12:11;11:12:27;11:12:37;11:14:12;11:14:20;11:14:28;11:14:35;11:14:43;11:15:05;11:15:16;11:15:41;11:15:51;11:16:07;11:16:17;11:16:23;11:16:35;11:16:41;11:16:48;11:17:05;11:17:14;11:18:12;11:18:20;11:18:31;11:18:42;11:21:29;11:21:47;11:21:57;11:22:05;11:23:48;11:23:59;11:24:16;11:24:28;11:24:46;11:25:00;11:25:11;11:25:18;11:25:25;11:25:33;11:25:49;11:26:01;11:26:10;11:29:22;11:29:33;11:29:39;11:29:50;11:29:58;11:30:06;11:30:17
Sync. frequency [Hz];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
T_int [ms];312,99;132,77;86,21;63,31;50,00;43,05;37,29;33,23;29,70;25,00;25,00;25,00;21,85;20,58;19,53;18,50;17,54;16,81;16,15;15,57;322,69;137,71;100,00;68,82;57,02;50,00;43,76;39,49;35,95;33,59;31,52;29,79;25,00;25,00;25,00;25,00;25,00;25,00;25,00;25,00;478,08;217,49;146,32;100,00;100,00;79,87;69,65;62,69;57,85;50,00;50,00;50,00;44,63;42,53;40,62;38,49;37,02;35,75;34,49;33,70;529,81;236,22;157,97;122,76;100,00;88,12;78,52;70,25;64,35;60,29;50,00;50,00;50,00;50,00;50,00;50,00;43,39;42,19;40,98;39,93;1072,04;462,50;297,42;219,20;175,13;146,93;125,78;100,00;100,00;100,00;82,42;75,28;69,90;65,71;61,95;58,47;50,00;50,00;50,00;50,00;476,69;189,82;115,83;84,41;65,56;50,00;50,00;40,46;35,96;32,31;29,45;25,00;25,00;25,00;22,17;21,14;20,05;18,71;18,06;17,19;453,54;201,56;127,53;100,00;68,04;50,00;50,00;41,92;37,13;33,57;30,46;25,00;25,00;25,00;25,00;21,74;20,81;19,72;18,66;17,90;700,10;326,22;219,07;167,85;136,98;117,56;100,00;100,00;84,51;76,46;70,55;66,36;62,19;59,28;50,00;50,00;50,00;50,00;50,00;50,00
Averages;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ev [lx] (CIE1931 2°);1,730E+03;4,265E+03;6,762E+03;9,267E+03;1,167E+04;1,403E+04;1,636E+04;1,863E+04;2,084E+04;2,311E+04;2,525E+04;2,732E+04;2,945E+04;3,148E+04;3,350E+04;3,548E+04;3,748E+04;3,939E+04;4,129E+04;4,306E+04;8,172E+01;1,904E+02;2,869E+02;3,756E+02;4,564E+02;5,329E+02;6,023E+02;6,693E+02;7,330E+02;7,945E+02;8,531E+02;9,078E+02;9,606E+02;1,011E+03;1,059E+03;1,107E+03;1,153E+03;1,197E+03;1,239E+03;1,278E+03;2,745E+02;6,000E+02;8,838E+02;1,142E+03;1,375E+03;1,589E+03;1,790E+03;1,976E+03;2,155E+03;2,327E+03;2,481E+03;2,635E+03;2,782E+03;2,921E+03;3,060E+03;3,194E+03;3,328E+03;3,449E+03;3,567E+03;3,675E+03;4,654E+02;1,047E+03;1,549E+03;2,009E+03;2,416E+03;2,790E+03;3,144E+03;3,468E+03;3,772E+03;4,071E+03;4,348E+03;4,612E+03;4,854E+03;5,082E+03;5,299E+03;5,510E+03;5,725E+03;5,930E+03;6,118E+03;6,291E+03;3,310E+02;8,013E+02;1,260E+03;1,719E+03;2,163E+03;2,597E+03;3,022E+03;3,446E+03;3,853E+03;4,256E+03;4,662E+03;5,052E+03;5,437E+03;5,817E+03;6,180E+03;6,543E+03;6,926E+03;7,264E+03;7,619E+03;7,944E+03;9,192E+01;2,416E+02;3,981E+02;5,578E+02;7,167E+02;8,751E+02;1,031E+03;1,186E+03;1,342E+03;1,494E+03;1,646E+03;1,794E+03;1,939E+03;2,077E+03;2,211E+03;2,319E+03;2,463E+03;2,595E+03;2,720E+03;2,837E+03;2,763E+01;6,434E+01;1,042E+02;1,429E+02;2,014E+02;2,471E+02;2,917E+02;3,355E+02;3,806E+02;4,258E+02;4,687E+02;5,149E+02;5,569E+02;5,977E+02;6,396E+02;6,813E+02;7,152E+02;7,543E+02;7,926E+02;8,319E+02;9,552E-01;2,506E+00;3,306E+00;4,521E+00;6,307E+00;7,956E+00;8,322E+00;9,263E+00;1,027E+01;1,197E+01;1,384E+01;1,482E+01;1,700E+01;1,859E+01;1,902E+01;2,012E+01;2,120E+01;2,361E+01;2,454E+01;2,521E+01
Ee [W/sqm] (230-1000nm);5,460E+00;1,342E+01;2,122E+01;2,901E+01;3,655E+01;4,391E+01;5,113E+01;5,823E+01;6,509E+01;7,221E+01;7,876E+01;8,532E+01;9,201E+01;9,821E+01;1,045E+02;1,106E+02;1,169E+02;1,229E+02;1,287E+02;1,342E+02;1,149E+00;2,802E+00;4,320E+00;5,782E+00;7,152E+00;8,483E+00;9,732E+00;1,096E+01;1,211E+01;1,321E+01;1,422E+01;1,518E+01;1,617E+01;1,707E+01;1,794E+01;1,885E+01;1,959E+01;2,038E+01;2,111E+01;2,168E+01;8,547E-01;1,954E+00;2,936E+00;3,908E+00;4,796E+00;5,610E+00;6,423E+00;7,179E+00;7,979E+00;8,667E+00;9,285E+00;9,922E+00;1,066E+01;1,117E+01;1,180E+01;1,250E+01;1,310E+01;1,361E+01;1,413E+01;1,453E+01;8,287E-01;1,902E+00;2,867E+00;3,762E+00;4,580E+00;5,371E+00;6,108E+00;6,809E+00;7,425E+00;8,117E+00;8,734E+00;9,379E+00;9,878E+00;1,037E+01;1,089E+01;1,136E+01;1,191E+01;1,231E+01;1,283E+01;1,321E+01;1,024E+00;2,475E+00;3,886E+00;5,295E+00;6,685E+00;8,017E+00;9,325E+00;1,064E+01;1,189E+01;1,315E+01;1,439E+01;1,558E+01;1,675E+01;1,795E+01;1,905E+01;2,018E+01;2,142E+01;2,245E+01;2,354E+01;2,453E+01;4,072E-01;1,080E+00;1,785E+00;2,531E+00;3,309E+00;4,015E+00;4,729E+00;5,459E+00;6,255E+00;6,996E+00;7,658E+00;8,399E+00;9,169E+00;9,781E+00;1,047E+01;1,107E+01;1,195E+01;1,251E+01;1,325E+01;1,384E+01;5,026E-01;1,193E+00;1,929E+00;2,639E+00;3,746E+00;4,682E+00;5,458E+00;6,294E+00;7,215E+00;7,987E+00;8,834E+00;9,778E+00;1,059E+01;1,138E+01;1,229E+01;1,319E+01;1,400E+01;1,475E+01;1,553E+01;1,646E+01;6,068E-01;1,406E+00;2,174E+00;2,942E+00;3,707E+00;4,459E+00;5,164E+00;5,881E+00;6,640E+00;7,364E+00;8,047E+00;8,782E+00;9,436E+00;1,012E+01;1,081E+01;1,147E+01;1,211E+01;1,276E+01;1,344E+01;1,404E+01
