;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Device number: 2016951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;#62;#63;#64;#65;#66;#67;#68;#69;#70;#71;#72;#73;#74;#75;#76;#77;#78;#79;#80;#81;#82;#83;#84;#85;#86;#87;#88;#89;#90;#91;#93;#94;#96;#97;#98;#99;#100;#101;#102;#103;#106;#107;#108;#109;#110;#111;#112;#113;#114;#115;#116;#117;#118;#119;#120;#121;#122;#123;#124;#125
Measuring mode;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance;Irradiance
Correction;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV;UV
Date;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026;27-02-2026
Time;13:06:57;13:07:02;13:07:06;13:07:24;13:07:28;13:07:34;13:07:39;13:07:44;13:07:49;13:07:55;13:07:59;13:08:03;13:08:08;13:08:12;13:08:16;13:08:21;13:08:25;13:08:28;13:08:34;13:08:38;13:09:53;13:09:58;13:10:04;13:10:09;13:10:13;13:10:20;13:10:25;13:10:31;13:10:35;13:10:40;13:12:53;13:14:13;13:16:54;13:17:00;13:18:00;13:19:00;13:20:00;13:21:00;13:22:00;13:23:00;13:26:59;13:27:13;13:27:25;13:27:33;13:27:39;13:27:53;13:28:00;13:28:07;13:28:54;13:29:00;13:29:06;13:29:12;13:29:17;13:29:25;13:29:30;13:29:35;13:29:41;13:29:47;13:29:53;13:29:58
Sync. frequency [Hz];0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
T_int [ms];355,96;100,00;50,00;33,75;25,00;20,77;17,44;14,96;12,50;12,50;10,52;9,58;8,82;4,52;4,52;4,52;4,52;4,52;4,52;4,52;28,56;18,12;12,50;10,33;8,63;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;4,52;631,99;276,05;177,27;132,05;100,00;89,05;75,95;67,04;59,77;50,00;50,00;50,00;42,85;40,52;37,31;35,68;34,32;33,62;32,89;32,48
Averages;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ev [lx] (CIE1931 2°);1,631E+03;6,491E+03;1,190E+04;1,743E+04;2,302E+04;2,850E+04;3,412E+04;3,974E+04;4,527E+04;5,089E+04;5,659E+04;6,207E+04;6,763E+04;7,379E+04;7,914E+04;8,475E+04;9,040E+04;9,570E+04;1,012E+05;1,066E+05;2,098E+03;3,350E+03;4,634E+03;5,929E+03;7,205E+03;8,513E+03;9,746E+03;1,098E+04;1,215E+04;1,332E+04;1,417E+04;1,531E+04;1,614E+04;1,77201E+04;1,87582E+04;1,97964E+04;2,08346E+04;2,18727E+04;2,29109E+04;2,39491E+04;9,574E-01;2,471E+00;3,738E+00;5,300E+00;6,701E+00;7,529E+00;8,836E+00;1,173E+01;1,172E+01;1,464E+01;1,678E+01;1,738E+01;1,818E+01;1,906E+01;2,042E+01;2,429E+01;2,532E+01;2,450E+01;2,443E+01;2,513E+01
Ee [W/sqm] (230-1000nm);4,278E+00;1,709E+01;3,139E+01;4,610E+01;6,086E+01;7,537E+01;9,028E+01;1,052E+02;1,200E+02;1,348E+02;1,498E+02;1,646E+02;1,793E+02;1,962E+02;2,102E+02;2,257E+02;2,403E+02;2,546E+02;2,692E+02;2,838E+02;7,432E+00;1,195E+01;1,647E+01;2,124E+01;2,608E+01;3,081E+01;3,515E+01;3,997E+01;4,387E+01;4,808E+01;5,137E+01;5,573E+01;5,953E+01;6,47332E+01;6,85678E+01;7,24025E+01;7,62371E+01;8,00718E+01;8,39065E+01;8,77411E+01;6,867E-01;1,648E+00;2,587E+00;3,560E+00;4,491E+00;5,413E+00;6,323E+00;7,285E+00;8,140E+00;9,130E+00;1,008E+01;1,082E+01;1,170E+01;1,254E+01;1,349E+01;1,436E+01;1,498E+01;1,518E+01;1,555E+01;1,577E+01
